taxon_id	species	hab_effect	scientific_name	authority	link
624065	Halamphora coffeaeformis	ASP	Halamphora coffeaeformis	(C.Agardh) Levkov, 2009	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=624065
246605	Pseudo-nitzschia calliantha	ASP	Pseudo-nitzschia calliantha	Lundholm, Moestrup & Hasle, 2003	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=246605
370512	Pseudo-nitzschia cuspidate	ASP	Pseudo-nitzschia cuspidata	(Hasle) Hasle, 1993	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=370512
149153	Pseudo-nitzschia delicatissima	ASP	Pseudo-nitzschia delicatissima	(Cleve) Heiden, 1928	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=149153
246606	Pseudo-nitzschia fraudulenta	ASP	Pseudo-nitzschia fraudulenta	(Cleve) Hasle, 1993	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=246606
175738	Pseudo-nitzschia multiseries	ASP	Pseudo-nitzschia multiseries	(Hasle) Hasle, 1995	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=175738
156548	Pseudo-nitzschia pseudodelicatissima	ASP	Pseudo-nitzschia pseudodelicatissima	(Hasle) Hasle, 1993	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=156548
160528	Pseudo-nitzschia pungens	ASP	Pseudo-nitzschia pungens	(Grunow ex Cleve) G.R.Hasle, 1993	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=160528
149152	Pseudo-nitzschia seriata	ASP	Pseudo-nitzschia seriata	(Cleve) H.Peragallo, 1899	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=149152
246591	Chrysochromulina leadbeateri	Fish killer	Chrysochromulina leadbeateri	Estep, Davis, Hargreaves & Sieburth, 1984	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=246591
160538	Phaeocystis globosa	Fish killer	Phaeocystis globosa	Scherffel, 1899	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=160538
115106	Phaeocystis pouchetii	Fish killer	Phaeocystis pouchetii	(Hariot) Lagerheim, 1896	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=115106
160564	Prymnesium parvum	Fish killer	Prymnesium parvum	N.Carter, 1937	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=160564
